Unnamed: 0,Penyakit,Gejala_1,Gejala_2,Gejala_3,Gejala_4
974,Malaria,muntah,demam tinggi,berkeringat,sakit kepala
975,Malaria,panas dingin,demam tinggi,berkeringat,sakit kepala
976,Malaria,panas dingin,muntah,berkeringat,sakit kepala
977,Malaria,panas dingin,muntah,demam tinggi,sakit kepala
978,Malaria,panas dingin,muntah,demam tinggi,berkeringat
979,Malaria,panas dingin,muntah,demam tinggi,berkeringat
980,Malaria,panas dingin,muntah,demam tinggi,berkeringat
981,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
982,Cacar air,ruam kulit,kelelahan,kelesuan,demam tinggi
983,Cacar air,gatal,kelelahan,kelesuan,demam tinggi
984,Cacar air,gatal,ruam kulit,kelesuan,demam tinggi
985,Cacar air,gatal,ruam kulit,kelelahan,demam tinggi
986,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
987,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
988,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
989,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
990,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
991,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
992,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
993,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
994,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
995,demam berdarah,panas dingin,nyeri sendi,muntah,kelelahan
996,demam berdarah,ruam kulit,nyeri sendi,muntah,kelelahan
997,demam berdarah,ruam kulit,panas dingin,muntah,kelelahan
998,demam berdarah,ruam kulit,panas dingin,nyeri sendi,kelelahan
999,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
1000,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
1001,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1002,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1003,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1004,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1005,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1006,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1007,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1008,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1009,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1010,Penyakit tipus,panas dingin,kelelahan,demam tinggi,sakit kepala
1071,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
1072,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
1073,TBC,muntah,kelelahan,penurunan berat badan,batuk
1074,TBC,panas dingin,kelelahan,penurunan berat badan,batuk
1075,TBC,panas dingin,muntah,penurunan berat badan,batuk
1076,TBC,panas dingin,muntah,kelelahan,batuk
1077,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
1078,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
1079,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
1080,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
1081,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
1082,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
1083,Flu biasa,panas dingin,kelelahan,batuk,demam tinggi
1084,Flu biasa,bersin terus menerus,kelelahan,batuk,demam tinggi
1085,Flu biasa,bersin terus menerus,panas dingin,batuk,demam tinggi
1086,Flu biasa,bersin terus menerus,panas dingin,kelelahan,demam tinggi
1087,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
1088,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
1089,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
1090,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
1091,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
1092,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
1093,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
1094,Radang paru-paru,kelelahan,batuk,demam tinggi,sesak napas
1095,Radang paru-paru,panas dingin,batuk,demam tinggi,sesak napas
1096,Radang paru-paru,panas dingin,kelelahan,demam tinggi,sesak napas
1097,Radang paru-paru,panas dingin,kelelahan,batuk,sesak napas
1098,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
1099,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
1100,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
1101,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
1102,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
1103,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
1104,Wasir dimorfik (tumpukan),nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja,iritasi di anus
1105,Wasir dimorfik (tumpukan),sembelit,nyeri di wilayah anal,darah dalam tinja,iritasi di anus
1106,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,darah dalam tinja,iritasi di anus
1107,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,iritasi di anus
1108,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
1109,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
1110,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
1251,GERD,sakit perut,keasaman,bisul di lidah,muntah
1252,GERD,sakit perut,bisul di lidah,muntah,batuk
1253,GERD,sakit perut,keasaman,muntah,batuk
1254,GERD,sakit perut,keasaman,bisul di lidah,batuk
1255,GERD,sakit perut,keasaman,bisul di lidah,muntah
1256,GERD,sakit perut,keasaman,bisul di lidah,muntah
1257,GERD,keasaman,bisul di lidah,muntah,batuk
1258,GERD,sakit perut,bisul di lidah,muntah,batuk
1259,GERD,sakit perut,keasaman,muntah,batuk
1260,GERD,sakit perut,keasaman,bisul di lidah,batuk
1281,Penyakit tukak lambung,muntah,kehilangan nafsu makan,sakit perut,masuk angin
1282,Penyakit tukak lambung,muntah,gangguan pencernaan,sakit perut,masuk angin
1283,Penyakit tukak lambung,gangguan pencernaan,kehilangan nafsu makan,sakit perut,masuk angin
1284,Penyakit tukak lambung,muntah,kehilangan nafsu makan,sakit perut,masuk angin
1285,Penyakit tukak lambung,muntah,gangguan pencernaan,sakit perut,masuk angin
1286,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,masuk angin
1287,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
1288,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
1289,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
1290,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
1291,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,kontak di luar nikah
1292,AIDS,bercak di tenggorokan,demam tinggi,kontak di luar nikah,
1293,AIDS,pengecilan otot,demam tinggi,kontak di luar nikah,
1294,AIDS,pengecilan otot,bercak di tenggorokan,kontak di luar nikah,
1295,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,
1296,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,kontak di luar nikah
1297,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,kontak di luar nikah
1298,AIDS,bercak di tenggorokan,demam tinggi,kontak di luar nikah,
1299,AIDS,pengecilan otot,demam tinggi,kontak di luar nikah,
1300,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,
1301,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
1302,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
1303,Diabetes,penurunan berat badan,kegelisahan,kelesuan,kadar gula tidak teratur
1304,Diabetes,kelelahan,kegelisahan,kelesuan,kadar gula tidak teratur
1305,Diabetes,kelelahan,penurunan berat badan,kelesuan,kadar gula tidak teratur
1306,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kadar gula tidak teratur
1307,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
1308,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
1309,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
1310,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
1331,Hipertensi,sakit kepala,nyeri dada,pusing,kehilangan keseimbangan
1332,Hipertensi,nyeri dada,pusing,kehilangan keseimbangan,kurangnya konsentrasi
1333,Hipertensi,sakit kepala,pusing,kehilangan keseimbangan,kurangnya konsentrasi
1334,Hipertensi,sakit kepala,nyeri dada,kehilangan keseimbangan,kurangnya konsentrasi
1335,Hipertensi,sakit kepala,nyeri dada,pusing,kurangnya konsentrasi
1336,Hipertensi,sakit kepala,nyeri dada,pusing,kehilangan keseimbangan
1337,Hipertensi,sakit kepala,nyeri dada,pusing,kehilangan keseimbangan
1338,Hipertensi,nyeri dada,pusing,kehilangan keseimbangan,kurangnya konsentrasi
1339,Hipertensi,sakit kepala,pusing,kehilangan keseimbangan,kurangnya konsentrasi
1340,Hipertensi,sakit kepala,nyeri dada,kehilangan keseimbangan,kurangnya konsentrasi
1341,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
1342,Migrain,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi,kelaparan berlebihan
1343,Migrain,keasaman,sakit kepala,penglihatan kabur dan terdistorsi,kelaparan berlebihan
1344,Migrain,keasaman,gangguan pencernaan,penglihatan kabur dan terdistorsi,kelaparan berlebihan
1345,Migrain,keasaman,gangguan pencernaan,sakit kepala,kelaparan berlebihan
1346,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
1347,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
1348,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
1349,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
1350,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
1371,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
1372,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
1373,Penyakit kuning,muntah,kelelahan,penurunan berat badan,demam tinggi
1374,Penyakit kuning,gatal,kelelahan,penurunan berat badan,demam tinggi
1375,Penyakit kuning,gatal,muntah,penurunan berat badan,demam tinggi
1376,Penyakit kuning,gatal,muntah,kelelahan,demam tinggi
1377,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
1378,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
1379,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
1380,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
1381,Malaria,panas dingin,muntah,demam tinggi,berkeringat
1382,Malaria,panas dingin,muntah,demam tinggi,berkeringat
1383,Malaria,panas dingin,muntah,demam tinggi,berkeringat
1384,Malaria,muntah,demam tinggi,berkeringat,sakit kepala
1385,Malaria,panas dingin,demam tinggi,berkeringat,sakit kepala
1386,Malaria,panas dingin,muntah,berkeringat,sakit kepala
1387,Malaria,panas dingin,muntah,demam tinggi,sakit kepala
1388,Malaria,panas dingin,muntah,demam tinggi,berkeringat
1389,Malaria,panas dingin,muntah,demam tinggi,berkeringat
1390,Malaria,panas dingin,muntah,demam tinggi,berkeringat
1391,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
1392,Cacar air,ruam kulit,kelelahan,kelesuan,demam tinggi
1393,Cacar air,gatal,kelelahan,kelesuan,demam tinggi
1394,Cacar air,gatal,ruam kulit,kelesuan,demam tinggi
1395,Cacar air,gatal,ruam kulit,kelelahan,demam tinggi
1396,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
1397,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
1398,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
1399,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
1400,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
1401,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
1402,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
1403,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
1404,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
1405,demam berdarah,panas dingin,nyeri sendi,muntah,kelelahan
1406,demam berdarah,ruam kulit,nyeri sendi,muntah,kelelahan
1407,demam berdarah,ruam kulit,panas dingin,muntah,kelelahan
1408,demam berdarah,ruam kulit,panas dingin,nyeri sendi,kelelahan
1409,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
1410,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
1411,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1412,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1413,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1414,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1415,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1416,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1417,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1418,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1419,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1420,Penyakit tipus,panas dingin,kelelahan,demam tinggi,sakit kepala
1481,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
1482,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
1483,TBC,muntah,kelelahan,penurunan berat badan,batuk
1484,TBC,panas dingin,kelelahan,penurunan berat badan,batuk
1485,TBC,panas dingin,muntah,penurunan berat badan,batuk
1486,TBC,panas dingin,muntah,kelelahan,batuk
1487,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
1488,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
1489,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
1490,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
1491,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
1492,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
1493,Flu biasa,panas dingin,kelelahan,batuk,demam tinggi
1494,Flu biasa,bersin terus menerus,kelelahan,batuk,demam tinggi
1495,Flu biasa,bersin terus menerus,panas dingin,batuk,demam tinggi
1496,Flu biasa,bersin terus menerus,panas dingin,kelelahan,demam tinggi
1497,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
1498,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
1499,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
1500,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
1501,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
1502,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
1503,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
1504,Radang paru-paru,kelelahan,batuk,demam tinggi,sesak napas
1505,Radang paru-paru,panas dingin,batuk,demam tinggi,sesak napas
1506,Radang paru-paru,panas dingin,kelelahan,demam tinggi,sesak napas
1507,Radang paru-paru,panas dingin,kelelahan,batuk,sesak napas
1508,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
1509,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
1510,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
1511,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
1512,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
1513,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
1514,Wasir dimorfik (tumpukan),nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja,iritasi di anus
1515,Wasir dimorfik (tumpukan),sembelit,nyeri di wilayah anal,darah dalam tinja,iritasi di anus
1516,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,darah dalam tinja,iritasi di anus
1517,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,iritasi di anus
1518,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
1519,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
1520,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
1661,GERD,sakit perut,keasaman,bisul di lidah,muntah
1662,GERD,sakit perut,bisul di lidah,muntah,batuk
1663,GERD,sakit perut,keasaman,muntah,batuk
1664,GERD,sakit perut,keasaman,bisul di lidah,batuk
1665,GERD,sakit perut,keasaman,bisul di lidah,muntah
1666,GERD,sakit perut,keasaman,bisul di lidah,muntah
1667,GERD,keasaman,bisul di lidah,muntah,batuk
1668,GERD,sakit perut,bisul di lidah,muntah,batuk
1669,GERD,sakit perut,keasaman,muntah,batuk
1670,GERD,sakit perut,keasaman,bisul di lidah,batuk
1691,Penyakit tukak lambung,muntah,kehilangan nafsu makan,sakit perut,masuk angin
1692,Penyakit tukak lambung,muntah,gangguan pencernaan,sakit perut,masuk angin
1693,Penyakit tukak lambung,gangguan pencernaan,kehilangan nafsu makan,sakit perut,masuk angin
1694,Penyakit tukak lambung,muntah,kehilangan nafsu makan,sakit perut,masuk angin
1695,Penyakit tukak lambung,muntah,gangguan pencernaan,sakit perut,masuk angin
1696,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,masuk angin
1697,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
1698,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
1699,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
1700,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
1701,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,kontak di luar nikah
1702,AIDS,bercak di tenggorokan,demam tinggi,kontak di luar nikah,
1703,AIDS,pengecilan otot,demam tinggi,kontak di luar nikah,
1704,AIDS,pengecilan otot,bercak di tenggorokan,kontak di luar nikah,
1705,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,
1706,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,kontak di luar nikah
1707,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,kontak di luar nikah
1708,AIDS,bercak di tenggorokan,demam tinggi,kontak di luar nikah,
1709,AIDS,pengecilan otot,demam tinggi,kontak di luar nikah,
1710,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,
1711,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
1712,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
1713,Diabetes,penurunan berat badan,kegelisahan,kelesuan,kadar gula tidak teratur
1714,Diabetes,kelelahan,kegelisahan,kelesuan,kadar gula tidak teratur
1715,Diabetes,kelelahan,penurunan berat badan,kelesuan,kadar gula tidak teratur
1716,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kadar gula tidak teratur
1717,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
1718,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
1719,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
1720,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
1741,Hipertensi,sakit kepala,nyeri dada,pusing,kehilangan keseimbangan
1742,Hipertensi,nyeri dada,pusing,kehilangan keseimbangan,kurangnya konsentrasi
1743,Hipertensi,sakit kepala,pusing,kehilangan keseimbangan,kurangnya konsentrasi
1744,Hipertensi,sakit kepala,nyeri dada,kehilangan keseimbangan,kurangnya konsentrasi
1745,Hipertensi,sakit kepala,nyeri dada,pusing,kurangnya konsentrasi
1746,Hipertensi,sakit kepala,nyeri dada,pusing,kehilangan keseimbangan
1747,Hipertensi,sakit kepala,nyeri dada,pusing,kehilangan keseimbangan
1748,Hipertensi,nyeri dada,pusing,kehilangan keseimbangan,kurangnya konsentrasi
1749,Hipertensi,sakit kepala,pusing,kehilangan keseimbangan,kurangnya konsentrasi
1750,Hipertensi,sakit kepala,nyeri dada,kehilangan keseimbangan,kurangnya konsentrasi
1751,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
1752,Migrain,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi,kelaparan berlebihan
1753,Migrain,keasaman,sakit kepala,penglihatan kabur dan terdistorsi,kelaparan berlebihan
1754,Migrain,keasaman,gangguan pencernaan,penglihatan kabur dan terdistorsi,kelaparan berlebihan
1755,Migrain,keasaman,gangguan pencernaan,sakit kepala,kelaparan berlebihan
1756,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
1757,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
1758,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
1759,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
1760,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
1781,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
1782,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
1783,Penyakit kuning,muntah,kelelahan,penurunan berat badan,demam tinggi
1784,Penyakit kuning,gatal,kelelahan,penurunan berat badan,demam tinggi
1785,Penyakit kuning,gatal,muntah,penurunan berat badan,demam tinggi
1786,Penyakit kuning,gatal,muntah,kelelahan,demam tinggi
1787,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
1788,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
1789,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
1790,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
1791,Malaria,panas dingin,muntah,demam tinggi,berkeringat
1792,Malaria,panas dingin,muntah,demam tinggi,berkeringat
1793,Malaria,panas dingin,muntah,demam tinggi,berkeringat
1794,Malaria,muntah,demam tinggi,berkeringat,sakit kepala
1795,Malaria,panas dingin,demam tinggi,berkeringat,sakit kepala
1796,Malaria,panas dingin,muntah,berkeringat,sakit kepala
1797,Malaria,panas dingin,muntah,demam tinggi,sakit kepala
1798,Malaria,panas dingin,muntah,demam tinggi,berkeringat
1799,Malaria,panas dingin,muntah,demam tinggi,berkeringat
1800,Malaria,panas dingin,muntah,demam tinggi,berkeringat
1801,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
1802,Cacar air,ruam kulit,kelelahan,kelesuan,demam tinggi
1803,Cacar air,gatal,kelelahan,kelesuan,demam tinggi
1804,Cacar air,gatal,ruam kulit,kelesuan,demam tinggi
1805,Cacar air,gatal,ruam kulit,kelelahan,demam tinggi
1806,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
1807,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
1808,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
1809,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
1810,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
1811,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
1812,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
1813,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
1814,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
1815,demam berdarah,panas dingin,nyeri sendi,muntah,kelelahan
1816,demam berdarah,ruam kulit,nyeri sendi,muntah,kelelahan
1817,demam berdarah,ruam kulit,panas dingin,muntah,kelelahan
1818,demam berdarah,ruam kulit,panas dingin,nyeri sendi,kelelahan
1819,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
1820,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
1821,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1822,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1823,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1824,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1825,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1826,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1827,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1828,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1829,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
1830,Penyakit tipus,panas dingin,kelelahan,demam tinggi,sakit kepala
1891,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
1892,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
1893,TBC,muntah,kelelahan,penurunan berat badan,batuk
1894,TBC,panas dingin,kelelahan,penurunan berat badan,batuk
1895,TBC,panas dingin,muntah,penurunan berat badan,batuk
1896,TBC,panas dingin,muntah,kelelahan,batuk
1897,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
1898,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
1899,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
1900,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
1901,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
1902,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
1903,Flu biasa,panas dingin,kelelahan,batuk,demam tinggi
1904,Flu biasa,bersin terus menerus,kelelahan,batuk,demam tinggi
1905,Flu biasa,bersin terus menerus,panas dingin,batuk,demam tinggi
1906,Flu biasa,bersin terus menerus,panas dingin,kelelahan,demam tinggi
1907,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
1908,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
1909,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
1910,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
1911,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
1912,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
1913,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
1914,Radang paru-paru,kelelahan,batuk,demam tinggi,sesak napas
1915,Radang paru-paru,panas dingin,batuk,demam tinggi,sesak napas
1916,Radang paru-paru,panas dingin,kelelahan,demam tinggi,sesak napas
1917,Radang paru-paru,panas dingin,kelelahan,batuk,sesak napas
1918,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
1919,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
1920,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
1921,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
1922,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
1923,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
1924,Wasir dimorfik (tumpukan),nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja,iritasi di anus
1925,Wasir dimorfik (tumpukan),sembelit,nyeri di wilayah anal,darah dalam tinja,iritasi di anus
